;Preprocessor;Feature Reduction;Algorithm (Library);Components;Mean cv;Stdev.;Test data;Elapsed Time;Exception
0;MAX;NOR;LDA - Linear Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;1,935333251953125;
1;MAX;NOR;MLPC - Multi Layered Peceptron (Scikit Learn);4;1,0;0,0;1,0;2,9280476570129395;
2;MAX;PCA;LDA - Linear Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;1,9374444484710693;
3;MAX;PCA;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;2,483107805252075;
4;MIX;NOR;KNN - K-Neighbors Classifier (Scikit Learn);4;1,0;0,0;1,0;2,491338014602661;
5;MIX;NOR;LDA - Linear Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;1,93400239944458;
6;MIX;PCA;KNN - K-Neighbors Classifier (Scikit Learn);4;1,0;0,0;1,0;2,493955135345459;
7;MIX;PCA;LDA - Linear Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;1,9305000305175781;
8;MIX;PCA;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;2,4607038497924805;
9;NOS;NOR;LDA - Linear Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;1,9241437911987305;
10;NRM;NOR;FUTS - FUT Stacking Classifier (Scikit Learn);4;1,0;0,0;1,0;7,054856300354004;
11;NRM;PCA;LDA - Linear Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;1,9373304843902588;
12;STA;NOR;LDA - Linear Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;1,936206579208374;
13;STA;NOR;MLPC - Multi Layered Peceptron (Scikit Learn);4;1,0;0,0;1,0;2,8602893352508545;
14;STA;PCA;LDA - Linear Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;2,010397434234619;
15;STA;PCA;QDA - Quadratic Discriminant Analysis (Scikit Learn);4;1,0;0,0;1,0;2,481236219406128;
16;NOS;NOR;MLPC - Multi Layered Peceptron (Scikit Learn);4;0,9979166666666666;0,006250000000000011;1,0;2,8831512928009033;
17;NRM;NOR;BARF - Balanced Random Forest (Imbalanced Learn);4;0,9979166666666666;0,006250000000000011;1,0;2,0214412212371826;
18;NRM;NOR;FUTV - FUT Voting Classifier (Scikit Learn);4;0,9979166666666666;0,006250000000000011;1,0;2,7738091945648193;
19;NRM;NOR;GBC - Gradient Boosting Classifier (Scikit Learn);4;0,9979166666666666;0,006250000000000011;1,0;2,106171131134033;
