;Model type;type;target;alphas;corr;dark_number
0;Cross-trained on training data;base;Iris-setosa;1.0;1,0;0,0
1;;base;Iris-virginica;1.0;1,2100840336134453;0,0
2;;base;Iris-versicolor;1.0;1,05;0,011931818181818172
3;;single_alpha;Iris-setosa;1.0;1,0;0,0
4;;single_alpha;Iris-virginica;1.0;1,2100840336134453;0,0
5;;single_alpha;Iris-versicolor;0.5000672421091704;1,05;0,005966711411529869
6;;separated_alpha;Iris-setosa;[1, 1];1,0;0,0
7;;separated_alpha;Iris-virginica;[1, np.float64(0.5000672421091704)];1,2100840336134453;0,0
8;;separated_alpha;Iris-versicolor;[np.float64(0.5000672421091704), 1];1,05;0,005966711411529869
9;;non_linear;Iris-setosa;1.0;1,0;0,0
10;;non_linear;Iris-virginica;1.0;1,2100840336134453;0,0
11;;non_linear;Iris-versicolor;1.0;1,05;0,003992433990877342
12;;non_linear_alpha;Iris-setosa;1;1,0;0,0
13;;non_linear_alpha;Iris-virginica;1;1,2100840336134453;0,0
14;;non_linear_alpha;Iris-versicolor;0.5000672421091704;1,05;0,001996485455120941
0;Retrained on all data;base;Iris-setosa;1.0;1,0;0,0
1;;base;Iris-virginica;1.0;1,2100840336134453;0,0
2;;base;Iris-versicolor;1.0;1,05;0,0
3;;single_alpha;Iris-setosa;1.0;1,0;0,0
4;;single_alpha;Iris-virginica;1.0;1,2100840336134453;0,0
5;;single_alpha;Iris-versicolor;1.0;1,05;0,0
6;;separated_alpha;Iris-setosa;[1, 1];1,0;0,0
7;;separated_alpha;Iris-virginica;[1, 1];1,2100840336134453;0,0
8;;separated_alpha;Iris-versicolor;[1, 1];1,05;0,0
9;;non_linear;Iris-setosa;1.0;1,0;0,0
10;;non_linear;Iris-virginica;1.0;1,2100840336134453;0,0
11;;non_linear;Iris-versicolor;1.0;1,05;0,0
12;;non_linear_alpha;Iris-setosa;1;1,0;0,0
13;;non_linear_alpha;Iris-virginica;1;1,2100840336134453;0,0
14;;non_linear_alpha;Iris-versicolor;1;1,05;0,0
0;Combined;base;Iris-setosa;1.0;1,0;0,0
1;;base;Iris-virginica;1.0;1,2100840336134453;0,0
2;;base;Iris-versicolor;1.0;1,05;0,011931818181818172
3;;single_alpha;Iris-setosa;1.0;1,0;0,0
4;;single_alpha;Iris-virginica;1.0;1,2100840336134453;0,0
5;;single_alpha;Iris-versicolor;0.5000672421091704;1,05;0,005966711411529869
6;;separated_alpha;Iris-setosa;[1, 1];1,0;0,0
7;;separated_alpha;Iris-virginica;[1, np.float64(0.5000672421091704)];1,2100840336134453;0,0
8;;separated_alpha;Iris-versicolor;[np.float64(0.5000672421091704), 1];1,05;0,005966711411529869
9;;non_linear;Iris-setosa;1.0;1,0;0,0
10;;non_linear;Iris-virginica;1.0;1,2100840336134453;0,0
11;;non_linear;Iris-versicolor;1.0;1,05;0,003992433990877342
12;;non_linear_alpha;Iris-setosa;1;1,0;0,0
13;;non_linear_alpha;Iris-virginica;1;1,2100840336134453;0,0
14;;non_linear_alpha;Iris-versicolor;0.5000672421091704;1,05;0,001996485455120941
